DATA;ORA;LIVELLO IDROMETRICO;TEMPERATURA ACQUA;TEMPERATURA ARIA;UMIDITÀ RELATIVA;PRESSIONE ATMOSFERICA;DIREZIONE VENTO;VELOCITÀ VENTO
2025-02-04;12:50;-0,301;;;;;37;2,5
2025-02-04;13:00;-0,31;15,3;14;64;1023,6;30;2,1
2025-02-04;13:10;-0,307;;;;;40;2
2025-02-04;13:20;-0,313;;;;;42;1,8
2025-02-04;13:30;-0,319;;;;;43;1,8
2025-02-04;13:40;-0,313;;;;;47;1,5
2025-02-04;13:50;-0,329;;;;;39;1,1
2025-02-04;14:00;-0,344;15,3;14,2;64;1023,4;46;2
2025-02-04;14:10;-0,353;;;;;45;1,4
2025-02-04;14:20;-0,357;;;;;27;1
2025-02-04;14:30;-0,372;;;;;49;1,4
2025-02-04;14:40;-0,381;;;;;44;1,1
2025-02-04;14:50;-0,394;;;;;56;1,2
2025-02-04;15:00;-0,403;15,3;14,2;65;1023,5;17;1,2
2025-02-04;15:10;-0,406;;;;;40;1,5
2025-02-04;15:20;-0,422;;;;;18;1,1
2025-02-04;15:30;-0,425;;;;;331;1,1
2025-02-04;15:40;-0,437;;;;;246;0,8
2025-02-04;15:50;-0,453;;;;;198;1,9
2025-02-04;16:00;-0,453;15,2;14,1;66;1023,5;190;1,4
2025-02-04;16:10;-0,471;;;;;195;0,9
2025-02-04;16:20;-0,468;;;;;190;1
2025-02-04;16:30;-0,49;;;;;234;1
2025-02-04;16:40;-0,493;;;;;265;0,8
2025-02-04;16:50;-0,502;;;;;281;0,8
2025-02-04;17:00;-0,508;15,5;13,3;71;1023,8;204;0,2
2025-02-04;17:10;-0,515;;;;;321;0,3
2025-02-04;17:20;-0,515;;;;;264;0,4
2025-02-04;17:30;-0,518;;;;;241;0,3
2025-02-04;17:40;-0,53;;;;;276;0,8
2025-02-04;17:50;-0,527;;;;;291;0,5
2025-02-04;18:00;-0,53;16,1;12,2;76;1024,5;249;0,3
2025-02-04;18:10;-0,543;;;;;260;0,4
2025-02-04;18:20;-0,533;;;;;240;0,5
2025-02-04;18:30;-0,539;;;;;261;0,3
2025-02-04;18:40;-0,539;;;;;270;0,8
2025-02-04;18:50;-0,546;;;;;290;0,3
2025-02-04;19:00;-0,536;16,5;11,6;79;1025,1;254;0,3
2025-02-04;19:10;-0,539;;;;;218;0,2
2025-02-04;19:20;-0,533;;;;;280;0,3
2025-02-04;19:30;-0,533;;;;;266;0,4
2025-02-04;19:40;-0,53;;;;;245;0,3
2025-02-04;19:50;-0,524;;;;;261;0,2
2025-02-04;20:00;-0,53;16,8;11,4;81;1025,5;303;0,4
2025-02-04;20:10;-0,533;;;;;228;0,4
2025-02-04;20:20;-0,53;;;;;223;0,3
2025-02-04;20:30;-0,521;;;;;277;0,4
2025-02-04;20:40;-0,512;;;;;257;0,3
2025-02-04;20:50;-0,508;;;;;257;0,3
2025-02-04;21:00;-0,496;16,9;11,3;83;1026;244;0,3
2025-02-04;21:10;-0,49;;;;;304;0,2
2025-02-04;21:20;-0,481;;;;;276;0,3
2025-02-04;21:30;-0,477;;;;;226;0,3
2025-02-04;21:40;-0,465;;;;;68;2,2
2025-02-04;21:50;-0,462;;;;;56;3,4
2025-02-04;22:00;-0,453;17;12;77;1026,2;56;3,6
2025-02-04;22:10;-0,434;;;;;53;3,6
2025-02-04;22:20;-0,434;;;;;54;3,3
2025-02-04;22:30;-0,415;;;;;57;3,3
2025-02-04;22:40;-0,418;;;;;60;3,1
2025-02-04;22:50;-0,403;;;;;59;3
2025-02-04;23:00;-0,406;17;13,2;63;1026,5;56;3,6
2025-02-04;23:10;-0,406;;;;;55;3,5
2025-02-04;23:20;-0,388;;;;;54;4,1
2025-02-04;23:30;-0,369;;;;;56;4,4
2025-02-04;23:40;-0,378;;;;;54;4,4
2025-02-04;23:50;-0,353;;;;;54;4,9
2025-02-05;00:00;-0,344;16,8;13,1;62;1027;54;4,3
2025-02-05;00:10;-0,347;;;;;53;4,2
2025-02-05;00:20;-0,35;;;;;51;3,9
2025-02-05;00:30;-0,353;;;;;52;4
2025-02-05;00:40;-0,35;;;;;55;4,3
2025-02-05;00:50;-0,347;;;;;54;3,6
2025-02-05;01:00;-0,35;16,8;12,8;63;1027,1;55;3,3
2025-02-05;01:10;-0,35;;;;;53;4
2025-02-05;01:20;-0,344;;;;;55;4
2025-02-05;01:30;-0,35;;;;;55;4,2
2025-02-05;01:40;-0,353;;;;;55;3,8
2025-02-05;01:50;-0,363;;;;;50;3,5
2025-02-05;02:00;-0,357;16,8;12,7;62;1027,3;63;2,7
2025-02-05;02:10;-0,378;;;;;53;3,4
2025-02-05;02:20;-0,384;;;;;55;3
2025-02-05;02:30;-0,381;;;;;45;3,6
2025-02-05;02:40;-0,394;;;;;53;3,4
2025-02-05;02:50;-0,403;;;;;47;3,6
2025-02-05;03:00;-0,406;16,8;12,6;59;1027,3;48;3,1
2025-02-05;03:10;-0,425;;;;;52;3,4
2025-02-05;03:20;-0,434;;;;;50;3,6
2025-02-05;03:30;-0,443;;;;;46;3,7
2025-02-05;03:40;-0,453;;;;;50;3,8
2025-02-05;03:50;-0,459;;;;;46;2,8
2025-02-05;04:00;-0,465;16,8;12,5;59;1027,6;41;3,2
2025-02-05;04:10;-0,484;;;;;44;2,8
2025-02-05;04:20;-0,487;;;;;45;3
2025-02-05;04:30;-0,502;;;;;45;3,2
2025-02-05;04:40;-0,502;;;;;52;3,3
2025-02-05;04:50;-0,521;;;;;50;3,5
2025-02-05;05:00;-0,53;16,8;12,5;57;1028;47;4
2025-02-05;05:10;-0,533;;;;;51;3,2
2025-02-05;05:20;-0,533;;;;;44;3,7
2025-02-05;05:30;-0,524;;;;;43;3,7
2025-02-05;05:40;-0,536;;;;;41;3,9
2025-02-05;05:50;-0,53;;;;;42;3,8
2025-02-05;06:00;-0,549;16,8;12,5;55;1028,3;39;3,6
2025-02-05;06:10;-0,539;;;;;39;4,2
2025-02-05;06:20;-0,546;;;;;40;4,4
2025-02-05;06:30;-0,552;;;;;41;3,9
2025-02-05;06:40;-0,552;;;;;42;4,3
2025-02-05;06:50;-0,549;;;;;48;3,6
2025-02-05;07:00;-0,546;16,7;12,4;57;1028,7;52;3,4
2025-02-05;07:10;-0,543;;;;;47;4
2025-02-05;07:20;-0,533;;;;;52;4
2025-02-05;07:30;-0,533;;;;;49;3,8
2025-02-05;07:40;-0,539;;;;;46;4,4
2025-02-05;07:50;-0,53;;;;;49;3,1
2025-02-05;08:00;-0,524;16,6;12,5;55;1029,1;49;3,4
2025-02-05;08:10;-0,521;;;;;54;3,1
2025-02-05;08:20;-0,524;;;;;48;3,3
2025-02-05;08:30;-0,508;;;;;51;4,1
2025-02-05;08:40;-0,508;;;;;51;4,3
2025-02-05;08:50;-0,505;;;;;54;4,7
2025-02-05;09:00;-0,487;16,2;12,5;52;1029,4;49;4,3
2025-02-05;09:10;-0,484;;;;;50;4,5
2025-02-05;09:20;-0,49;;;;;48;4,3
2025-02-05;09:30;-0,49;;;;;52;4,8
2025-02-05;09:40;-0,474;;;;;51;4,9
2025-02-05;09:50;-0,456;;;;;47;5
2025-02-05;10:00;-0,456;15,6;12,6;52;1029,6;49;4,4
2025-02-05;10:10;-0,44;;;;;48;4,6
2025-02-05;10:20;-0,456;;;;;47;4,3
2025-02-05;10:30;-0,453;;;;;48;3,6
2025-02-05;10:40;-0,44;;;;;47;4,2
2025-02-05;10:50;-0,434;;;;;50;4
2025-02-05;11:00;-0,428;15,3;12,7;53;1029,6;52;4,1
2025-02-05;11:10;-0,409;;;;;54;3,4
2025-02-05;11:20;-0,409;;;;;55;3,9
2025-02-05;11:30;-0,406;;;;;56;3,6
2025-02-05;11:40;-0,406;;;;;55;3,2
2025-02-05;11:50;-0,4;;;;;54;3,7
2025-02-05;12:00;-0,384;15,1;12,9;51;1029,1;55;3,4
2025-02-05;12:10;-0,391;;;;;54;3,7
2025-02-05;12:20;-0,378;;;;;57;3,2
2025-02-05;12:30;-0,388;;;;;56;3
2025-02-05;12:40;-0,372;;;;;55;2,6
2025-02-05;12:50;-0,384;;;;;54;2,4
2025-02-05;13:00;-0,375;15,1;13,1;52;1028,7;50;1,6
2025-02-05;13:10;-0,384;;;;;60;1,6
2025-02-05;13:20;-0,378;;;;;64;1,2
2025-02-05;13:30;-0,381;;;;;47;1,3
2025-02-05;13:40;-0,384;;;;;94;0,6
2025-02-05;13:50;-0,375;;;;;78;0,8
2025-02-05;14:00;-0,378;15,1;13,4;54;1028,4;63;1,1
2025-02-05;14:10;-0,391;;;;;51;1,2
2025-02-05;14:20;-0,403;;;;;49;1,2
2025-02-05;14:30;-0,403;;;;;47;1,1
2025-02-05;14:40;-0,412;;;;;39;0,6
